City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
432,Hualmay,PE,18.73,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
436,Shizunai,JP,16.35,overcast clouds,42.3339,142.3669,Shizunai Eclipse Hotel
438,Hofn,IS,7.01,broken clouds,64.2539,-15.2082,Hótel Höfn
439,Sistranda,NO,11.98,light rain,63.7256,8.834,Hotell Frøya
440,Ina,JP,18.73,overcast clouds,35.8276,137.9538,Fine Days Hotel
441,Mandalgovi,MN,10.74,few clouds,45.7625,106.2708,В.Ганбат
444,Coquimbo,CL,14.85,clear sky,-29.9533,-71.3436,Hotel San Juan
445,Yelizovo,RU,7.08,broken clouds,53.1873,158.3805,Kamchatskiy Stil' Hostel
453,Lompoc,US,17.14,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
459,Raudeberg,NO,9.37,light rain,61.9875,5.1352,Nordre Silda.
460,Otane,NZ,10.56,overcast clouds,-39.8833,176.6333,Ludlow Farmstay
461,Brae,GB,12.21,light rain,60.3964,-1.353,Busta House Hotel
462,Umea,SE,11.06,broken clouds,63.8284,20.2597,Hotel Avenue | ProfilHotels
465,Griffith,US,17.37,overcast clouds,41.5284,-87.4237,Apartment above Depot Bar
467,Zarubino,RU,14.79,few clouds,42.63,131.0922,Okean
468,Svetlyy,RU,14.03,overcast clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
475,Rochester,US,15.95,overcast clouds,43.1548,-77.6156,Hyatt Regency Rochester
476,Shelburne,CA,13.46,light rain,44.0787,-80.2041,The Retreat at the Farm
479,Viking,CA,9.07,overcast clouds,53.1001,-111.7684,Viking Lamplighter Motel
481,Shizuishan,CN,19.1,clear sky,39.2333,106.7694,Xingji Hotel
483,Sicuani,PE,14.75,overcast clouds,-14.2694,-71.2261,Wilkamayu Hotel
485,Fortuna,US,11.19,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
487,Copiapo,CL,13.83,broken clouds,-27.3667,-70.3333,Antay Casino Hotel
